Day,Case_by_time,Death_by_time,recovered_by_time,Once injected,Twice injected,Total injected
1/2/2022,515665,19887,0,657678,7510283,20099681
2/2/2022,515813,19887,0,657110,7511183,20106180
3/2/2022,515949,19898,0,657110,7511183,20106180
4/2/2022,516017,19901,0,657110,7511183,20106180
5/2/2022,516041,19907,0,657068,7511248,20106522
6/2/2022,516085,19911,0,656868,7511499,20108158
7/2/2022,516163,19913,0,656780,7511610,20109560
8/2/2022,516280,19915,0,656581,7511867,20111166
9/2/2022,516500,19915,0,656381,7512227,20112810
10/2/2022,516742,19915,0,655011,7513771,20117451
11/2/2022,517002,19916,0,653610,7515520,20120760
12/2/2022,517303,19917,0,652778,7516579,20124756
13/02/2022,517485,19918,0,651249,7518403,20135642
14/02/2022,517773,19919,0,651249,7518403,20135642
15/02/2022,518116,19921,0,648796,7521628,20151919
16/02/2022,518736,19923,0,646761,7524129,20305661
17/02/2022,519221,19925,0,644324,7527329,20320454
18/02/2022,519936,19927,0,642073,7530150,20332147
19/02/2022,520785,19929,0,640239,7532332,20343736
20/02/2022,521641,19929,0,638097,7535147,20355174
21/02/2022,522438,19930,0,637882,7536382,20363033
22/02/2022,523794,19931,0,637507,7536821,20364810
23/02/2022,525245,19932,0,636947,7537499,20367773
24/02/2022,527711,19932,0,288686,7542330,20057913
25/02/2022,529919,19933,0,286345,7545194,20063113
26/02/2022,531990,19934,0,282516,7550040,20080642
27/02/2022,533962,19935,0,280100,7553086,20096210
28/02/2022,535752,19937,0,279009,7554543,20103332
1/3/2022,537774,19938,0,278233,7555616,20108907
2/3/2022,540520,19938,0,276137,7558979,20124342
3/3/2022,543647,19940,0,274632,7560859,20136339
4/3/2022,546717,19942,0,273460,7562739,20148669
5/3/2022,549719,19943,0,270122,7566818,20168550
6/3/2022,552599,19943,0,270122,7566818,20168550
7/3/2022,554720,19945,0,268803,7568648,20179981
8/3/2022,556220,19946,0,256482,7583968,20251171
9/3/2022,558683,19948,0,255911,7584804,20257426
10/3/2022,562351,19950,0,255092,7586114,20265318
11/3/2022,565391,19950,0,253766,7587879,20275635
12/3/2022,568196,19951,0,253321,7588450,20296113
13/03/2022,570453,19952,0,252575,7589626,20305230
14/03/2022,572612,19954,0,251851,7590801,20319298
15/03/2022,574858,19956,0,251687,7591020,20321358
16/03/2022,576910,19959,0,251380,7591654,20324747
17/03/2022,579280,19961,0,250954,7592307,20336909
18/03/2022,581526,19962,0,249498,7594259,20351521
19/03/2022,582968,19965,0,249498,7594259,20351521
20/03/2022,584430,19967,0,248217,7596197,20375895
21/03/2022,585917,19969,0,247789,7596842,20378482
22/03/2022,587011,19970,0,247496,7597203,20380395
23/03/2022,588593,19972,0,246953,7597923,20384449
24/03/2022,589834,19972,0,246490,7598586,20388260
25/03/2022,590973,19973,0,245669,7599637,20394007
26/03/2022,592032,19974,0,245669,7599637,20394007
27/03/2022,592881,19975,0,244884,7600661,20400200
28/03/2022,593626,19976,0,244857,7600722,20400521
29/03/2022,594360,19977,0,244742,7600859,20401345
30/03/2022,595344,19978,0,244538,7601187,20403152
31/03/2022,596268,19979,0,243633,7602332,20408648
